ability	evne 
to crush	để nghiền nát 
to cry	khóc 
to curl	để cuộn tròn 
to curse	nguyền rủa 
to cut	cắt 
to dance	nhảy 
to dare	dám 
today	hôm nay 
to decide	quyết định 
to declare	tuyên bố 
to defend	để bảo vệ 
to deliver	để giao hàng 
to demand	để yêu cầu 
to	đến 
to deny	từ chối 
to depart	khởi hành 
to depend	phụ thuộc 
to descend	hạ xuống 
to describe	miêu tả 
to deserve	xứng đáng 
to destroy	phá hủy 
to determine	để xác định 
to develop	để phát triển 
to die	chết 
to dig	đào 
to direct	chỉ đạo 
to disappear	biến mất 
to discover	khám phá 
to discuss	thảo luận 
to display	để hiển thị 
to disturb	làm phiền 
to divide	chia rẽ 
to do	làm 
to drag	kéo 
to draw	vẽ 
to dress	ăn mặc 
to drift	trôi dạt 
to drink	uống 
to drive	lái xe 
to drop	để thả 
to earn	để kiếm tiền 
to ease	để dễ dàng 
to eat	ăn 
to echo	để lặp lại 
to embrace	để nắm lấy 
to emerge	nổi lên 
to employ	sử dụng 
to encounter	gặp phải 
to encourage	khuyến khích 
to engage	tham gia 
to enjoy	thưởng thức 
to enter	nhập 
to escape	trốn thoát 
to establish	thành lập 
to examine	kiểm tra 
to exchange	trao đổi 
to excite	kích thích 
to exclaim	kêu lên 
to exhaust	kiệt sức 
to exist	tồn tại 
to expect	mong đợi 
to explain	giải thích 
to expose	để lộ 
to express	bày tỏ 
to extend	mở rộng 
to fade	mờ dần 
to fail	thất bại 
to fall	ngã 
to feed	cho ăn 
to feel	để cảm nhận 
to fight	chiến đấu 
to fill	để điền 
to find	để tìm 
to finish	kêt thuc 
to fit	để phù hợp 
to fix	sửa chữa 
to flash	để flash 
to flee	bọ chét 
to fling	bỏ trốn 
to float	nổi 
to flow	chảy 
to fly	bay 
to focus	tập trung 
to fold	gấp 
to follow	để làm theo 
to forget	quên 
to forgive	tha thứ 
to freeze	đóng băng 
to frighten	sợ hãi 
to frown	nhăn mặt 
to gain	để đạt được 
to gasp	thở hổn hển 
to gather	để thu thập 
to get	để có được 
together	cùng với nhau 
to give	cho 
to glance	nhìn thoáng qua 
to glare	hai cái lườm 
to gleam	cười 
to go	đi 
to grab	để lấy 
to grant	cấp 
to grasp	để cỏ 
to greet	chào hỏi 
to grin	cười toe toét 
to groan	rên rỉ 
to grow	lớn lên 
to guess	đoán 
to guide	hướng dẫn 
to halt	hai què 
to handle	để xử lý 
to hang	treo 
to happen	xảy ra 
to hate	ghét 
to have	có 
to hear	nghe ngóng 
to help	giúp đỡ 
to hesitate	do dự 
to hide	trốn 
to hire	thuê 
to hit	đánh 
to hold	để giữ 
to hope	hy vọng 
to hug	ôm 
to hunt	đi săn 
to hurry	vội vàng 
to hurt	làm đau 
to identify	để xác định 
to ignore	bỏ qua 
to imagine	tưởng tượng 
to impress	để gây ấn tượng 
to include	bao gồm 
to increase	tăng 
to indicate	để chỉ ra 
to inform	để thông báo 
to inquire	để hỏi 
to insist	nhấn mạnh 
to intend	để ý 
to interrupt	làm gián đoạn 
to introduce	giới thiệu 
to invite	mời 
to involve	liên quan 
to jerk	giật 
to join	tham gia 
to jump	nhảy 
to keep	để giữ 
to kick	đá 
to kill	giết 
to kiss	hôn 
to kneel	quỳ 
to knock	gõ cửa 
to know	để biết 
to laugh	cười 
to lay	đẻ 
to lead	để lãnh đạo 
to lean	nạc 
to leap	nhảy vọt 
to learn	học 
to leave	rời đi 
to let	hãy để 
to lie	nói dối 
to lift	nâng 
to listen	nghe 
to live	sống 
to load	để tải 
to lock	khóa 
to look	nhìn 
to lose	mất 
to love	yêu 
to lower	để hạ thấp 
to maintain	để duy trì 
to make	để làm cho 
to manage	để quản lý 
to march	diễu hành 
to mark	đánh dấu 
to marry	cươi 
to may	để có thể 
to mean	có nghĩa là 
to meet	để gặp 
to mention	đề cập đến 
to might	để có thể 
to miss	bỏ lỡ 
tomorrow	Ngày mai 
to mount	để gắn kết 
to move	để di chuyển 
to murmur	để thì thầm 
to must	phải 
to mutter	lẩm bẩm 
to need	cần 
tone	tấn 
tongue	lưỡi 
tonight	tối nay 
to nod	gật đầu 
to notice	để ý 
to oblige	hai nghĩa vụ 
to observe	để quan sát 
to obtain	để có được 
to occupy	chiếm giữ 
to occur	xảy ra 
to offer	để cung cấp 
to open	mở 
too	quá 
tooth	răng 
to ought	nên 
to owe	để lò 
to pack	đóng gói 
to paint	vẽ 
to pass	vượt qua 
to pat	vỗ 
to pause	để tạm dừng 
to pay	trả 
to peer	để ngang hàng 
to perceive	để nhận thức 
to perform	để thực hiện 
to permit	cho phép 
to persuade	hai thuyết phục 
top	hàng đầu 
to pick	để chọn 
to pin	để ghim 
to play	chơi 
to please	làm ơn 
to pop	bật 
to possess	chiếm hữu 
to pour	đổ 
to pray	cầu nguyện 
to prefer	thích 
to prepare	chuẩn bị 
to press	nhấn 
to pretend	giả vờ 
to prevent	để ngăn chặn 
to proceed	tiến hành 
to produce	để sản xuất 
to promise	hứa 
to propose	đề xuất 
to protect	để bảo vệ 
to protest	để phản đối 
to prove	để chứng minh 
to provide	cung cấp 
to pull	để kéo 
to pursue	theo đuổi 
to push	đẩy 
to put	để đặt 
to raise	nâng cao 
to reach	để đạt được 
to read	đọc 
to realize	nhận ra 
to recall	nhớ lại 
to receive	Nhận 
to recognize	nhận ra 
to recover	để phục hồi 
to refer	để tham khảo 
to reflect	để phản ánh 
to refuse	từ chối 
to regard	liên quan 
to regret	hối tiếc 
to relate	liên quan 
to relax	thư giãn 
to release	phát hành 
to relieve	để giảm bớt 
to remain	ở lại 
to remark	để nhận xét 
to remember	nhớ 
to remind	nhắc nhở 
to remove	để loại bỏ 
to render	hai kết xuất 
to rent	để làm sạch 
to repeat	lặp lại 
to replace	để thay thế 
to reply	Phản hồi 
to represent	đại diện 
to require	yêu cầu 
to resist	để chống lại 
to resolve	để giải quyết 
to respond	để trả lời 
to retreat	rút lui 
to return	trở về 
to reveal	tiết lộ 
to ride	cưỡi 
to rise	tăng lên 
to roar	gầm 
to roll	để cuộn 
to rub	chà 
to ruin	hủy hoại 
to run	chạy 
to rush	vội vàng 
to sail	đi thuyền 
to satisfy	để thỏa mãn 
to save	để tiết kiệm 
to say	để nói 
to scare	sợ hãi 
to scratch	cào 
to scream	hét 
to search	tìm kiếm 
to secure	để bảo đảm 
to seek	tìm kiếm 
to seem	dường như 
to see	nhìn 
to seize	để nắm bắt 
to sell	bán 
to send	để gửi 
to separate	tách ra 
to serve	phục vụ 
to set	để thiết lập 
to settle	giải quyết 
to shake	lắc 
to shall	để 
to share	chia sẻ 
to shed	đổ 
to shift	thay đổi 
to shine	tỏa sáng 
to shiver	hai rùng mình 
to shoot	bắn 
to shout	la hét 
to shove	xô đẩy 
to show	để hiển thị 
to shrug	nhún vai 
to shut	đóng 
to sigh	thở dài 
to sing	hát 
to sink	để chìm 
to sip	nhấm nháp 
to sit	ngồi 
to slam	bùn 
to slap	đi ngủ 
to sleep	ngủ 
to slide	trượt 
to slip	trượt 
to smell	ngửi 
to smile	Để cười 
to snap	để chụp 
to sob	khóc nức nở 
to spare	để tiết kiệm 
to speak	nói 
to spend	chi tiêu 
to spin	quay 
to spread	lây lan 
to squeeze	bóp 
to stand	đứng 
to stare	nhìn chằm chằm 
to start	để bắt đầu 
to startle	giật mình 
to stay	ở lại 
to steal	để ăn cắp 
to stick	dính 
to stir	khuấy 
to stop	dừng lại 
to strain	căng thẳng 
to stretch	để căng 
to stride	chiến đấu 
to strike	để tấn công 
to strip	lột đồ 
to struggle	đấu tranh 
to study	học 
to succeed	để thành công 
to suffer	đau khổ 
to suggest	đề nghị 
to support	hỗ trợ 
to suppose	giả sử 
to surprise	ngạc nhiên 
to surround	bao quanh 
to survive	để tồn tại 
to suspect	để nghi ngờ 
to swallow	nuốt 
to swear	thề 
to sweep	quét 
to swell	sưng lên 
to swim	bơi 
to swing	lung lay 
to switch	để chuyển đổi 
to take	để lấy 
to talk	nói chuyện 
totally	hoàn toàn 
total	tổng 
to tap	hai mất mát 
to teach	dạy 
to tell	nói 
to tend	có xu hướng 
to thank	để cảm ơn 
to think	Để nghĩ 
to threaten	đe dọa 
to throw	ném 
to thrust	để đẩy 
to tie	buộc 
to tire	để lốp 
to toss	quăng 
to touch	chạm 
to travel	đi du lịch 
to treat	để điều trị 
to tremble	run sợ 
to trust	tin tưởng 
to try	thử 
to turn	biến 
to twist	xoắn 
to understand	hiểu 
to upset	buồn bã 
to urge	thúc giục 
to use	sử dụng 
to utter	để nói 
to vanish	biến mất 
to venture	liên doanh 
to visit	đến thăm 
to wait	đợi 
to wake	thức dậy 
to walk	đi bộ 
to wander	đi lang thang 
to want	muốn 
towards	hướng tới 
toward	về phía 
to warn	để cảnh báo 
to wash	để rửa 
to waste	lãng phí 
to watch	xem 
to wear	mặc 
to weep	khóc 
tower	tháp 
to whip	quất 
to whisper	thì thầm 
to whistle	huýt sáo 
to will	sẽ 
to win	để thắng 
to wipe	lau 
to wish	ước 
to withdraw	rút tiền 
town	thị trấn 
to wonder	băn khoăn 
to work	làm việc 
to worry	lo lắng 
to wrap	để bọc 
to write	viết 
to yell	hét lên 
trace	dấu vết 
track	theo dõi 
trade	thương mại 
tradition	truyền thống 
trail	đường mòn 
train	xe lửa 
trap	bẩy 
tree	cây 
trial	thử nghiệm 
trick	lừa 
trip	chuyến đi 
trouble	rắc rối 
truck	xe tải 
true	thật 
truly	thật sự 
trunk	thân cây 
truth	sự thật 
twelve	mười hai 
twenty	hai mươi 
twice	hai lần 
two	hai 
type	loại 
ugly	xấu xí 
unable	không thể 
uncle	chú 
under	Dưới 
understanding	hiểu biết 
uniform	đồng dạng 
unknown	không biết 
unless	trừ khi 
until	cho đến khi 
unusual	bất thường 
up	lên 
upon	trên 
upper	ups 
upstairs	lên lầu 
us	chúng tôi 
usual	bình thường 
usually	thông thường 
valley	thung lũng 
value	giá trị 
various	khác nhau 
vast	rộng lớn 
vehicle	xe cộ 
version	phiên bản 
very	rất 
vessel	tàu 
victim	nạn nhân 
view	lượt xem 
village	làng 
virtue	đức 
visible	có thể thấy 
vision	tầm nhìn 
visitor	người truy cập 
voice	tiếng nói 
volume	thể tích 
wagon	toa xe 
waist	thắt lưng 
wall	Tường 
war	chiến tranh 
warm	ấm áp 
warmth	hơi nóng 
warning	cảnh báo 
warrior	quân nhân 
water	Nước 
wave	làn sóng 
way	đường 
weak	yếu 
weapon	vũ khí 
weather	thời tiết 
we	chúng tôi 
wedding	đám cưới 
week	tuần 
weight	trọng lượng 
welcome	chào mừng 
well	tốt 
west	tây 
wet	luật 
whatever	bất cứ điều gì 
what	gì 
wheel	bánh xe 
whenever	Nar bao giờ hết 
when	khi nào 
where	Ở đâu 
whether	liệu 
which	mà 
while	trong khi 
white	trắng 
whole	toàn bộ 
whom	ai 
who	người nào 
whose	của ai 
why	tại sao 
wide	rộng 
wife	người vợ 
wild	hoang dã 
willing	sẵn sàng 
wind	gió 
window	cửa sổ 
wine	rượu nho 
wing	cánh 
winter	mùa đông 
wire	dây thép 
wise	khôn ngoan 
within	trong 
without	không có 
with	với 
witness	nhân chứng 
woman	đàn bà 
wonderful	tuyệt vời 
wooden	gỗ 
wood	gỗ 
word	từ 
worker	công nhân 
world	thế giới 
worth	giá trị 
wound	vết thương 
wrist	cổ tay 
writer	nhà văn 
writing	viết 
wrong	sai rồi 
yard	sân 
year	năm 
yellow	màu vàng 
yesterday	hôm qua 
yes	Vâng 
yet	chưa 
you	bạn 
young	trẻ 
your	của bạn 
yours	của bạn 
yourself	bản thân bạn 
youth	tuổi trẻ 
